docname,from,to,pre,keyword,post,pattern
doc_24,456,456,for neste <c3><a5>r m<c3><a5> ha et helt avgj<c3><b8>rende,klimatiltak,for at vi skal n<c3><a5> de m<c3><a5>lene vi,klima*
doc_24,504,504,ha en ny avtale fra januar Der m<c3><a5>,klimam<c3><a5>l,v<c3><a6>re en viktig del Hydrogen m<c3><a5> opp som,klima*
doc_30,609,609,svekker fellesskapet v<c3><a5>rt Den andre store utfordringen er,klimaet,Transportsektoren st<c3><a5>r for om lag en tredjedel av,klima*
doc_30,662,662,minutter om utfordringer i transportsektoren uten <c3><a5> nevne,klimautfordringen,Det finnes ingen dramatiske virkemidler ingen kraftfulle virkemidler,klima*
doc_30,763,763,b<c3><a5>de digitaliseringsutfordringene de mulighetene som ligger der og,klimautfordringene,Den omstillingen vi st<c3><a5>r overfor l<c3><b8>ser vi best,klima*
doc_34,520,520,fr<c3><a5> land som ikkje f<c3><b8>lgjer akseptable standardar og,klimautsleppa,kjenner som kjent ingen landegrenser Men l<c3><b8>ysinga p<c3><a5>,klima*
doc_34,572,572,utfordringar og nye moglegheiter N<c3><a5>r bedrifter menneske og,klimaendringar,ikkje lenger kjenner landegrenser kan ikkje politikken gjere,klima*
doc_34,669,669,ogs<c3><a5> engasjere oss ved <c3><a5> kutte dei globale,klimagassutsleppa,b<c3><a5>de gjennom <c3><a5> vere aktivt til stades ute,klima*
doc_40,125,125,st<c3><a5>tt p<c3><a5> feil side I en tid hvor,klimaendringer,og reduksjon av disse m<c3><a5> danne rammer for,klima*
doc_42,20,20,grensel<c3><b8>se jordkloden forteller barn fra forskjellige land hvordan,klimaendringene,p<c3><a5>virker dem og hvordan de jobber for <c3><a5>,klima*
doc_42,35,35,for <c3><a5> stoppe og tilpasse seg de negative,klimakonsekvensene,De er opptatt av hvordan vi skal kutte,klima*
doc_42,49,49,vi skal kutte utslippene hvordan leve med daglige,klimaendringer,og hvem som betaler for utslippene Vi som,klima*
doc_42,152,152,tolvte time Paris-avtalen var et gjennombrudd der tidligere,klimasinker,kom ombord President Obama tok sjumilssteg p<c3><a5> vegne,klima*
doc_42,189,189,og det <c3><a5> feie for egen d<c3><b8>r I,klimapolitikken,er det <c3><a5> v<c3><a6>re en internasjonal p<c3><a5>driver viktig,klima*
doc_42,344,344,barneperspektiv Vi m<c3><a5> gi barna og barnebarna v<c3><a5>re,klimah<c3><a5>p,I en verden med krig konflikt terror jordskjelv,klima*
doc_45,25,25,av denne regjeringen <c3><98>kt arbeidsledighet og <c3><b8>kte farlige,klimautslipp,m<c3><a5> m<c3><b8>tes med framtidsrettet satsing ikke med mer,klima*
doc_50,361,361,vil l<c3><b8>yse framtidsutfordringane v<c3><a5>re innan b<c3><a5>de transport energi,klima,milj<c3><b8> og helse Og kanskje er det nettopp,klima*
doc_54,17,17,<c3><a5> bidra til reduksjon i utslepp av skadelege,klimagassar,Paris-avtalen vitnar om at Noreg tek det gr<c3><b8>ne,klima*
doc_58,26,26,den regjeringa Den r<c3><b8>d-gr<c3><b8>nne regjeringa <c3><b8>kte avgiften p<c3><a5>,klimavennlig,drivstoff stikk i strid med prinsippet for det,klima*
doc_58,84,84,<c3><a5> v<c3><a6>re et parti som fullstendig har fornektet,klimaendringer,til <c3><a5> v<c3><a6>re et parti som n<c3><a5> er,klima*
doc_58,148,148,for lite setter Fremskrittspartiet her Arbeiderpartiet i den,klimapolitiske,skammekroken Hvordan f<c3><b8>ler Arbeiderpartiet det er <c3><a5> bli,klima*
doc_58,160,160,Arbeiderpartiet det er <c3><a5> bli satt i den,klimapolitiske,skammekroken av Fremskrittspartiet,klima*
doc_59,17,17,<c3><a5> si at hvis vi havner i den,klimapolitiske,skammekroken kan vi sp<c3><b8>rre Trine Skei Grande om,klima*
doc_59,65,65,til <c3><a5> snakke opp ansvaret Fremskrittspartiet tar for,klima,<e2><80><93> et parti som i alle fall til,klima*
doc_59,82,82,n<c3><a5> har et program som betviler de menneskeskapte,klimaendringene,Hun ser etter ethvert halmstr<c3><a5> for <c3><a5> vise,klima*
doc_59,98,98,vise at Fremskrittspartiet er den progressive kraften for,klima,Vi foreslo endringer i drivstoffavgiftene senest i revidert,klima*
doc_59,206,206,det er Fremskrittspartiet som er veien til reduserte,klimautslipp,i Norge,klima*
doc_61,57,57,av Helleland var v<c3><a5>re utfordringer n<c3><a5>r det gjelder,klima,og milj<c3><b8> I trontalen st<c3><a5>r det <c2><ab> Parisavtalen,klima*
doc_61,71,71,det <c2><ab> Parisavtalen gir en ny ramme for,klimaarbeidet,Alle land ogs<c3><a5> Norge m<c3><a5> f<c3><b8>lge opp sine,klima*
doc_61,113,113,skatteomleggingen skal v<c3><a6>re av en st<c3><b8>rrelse som forsterker,klimaforliket,og gir betydelige reduksjoner i klimautslippene <c2><bb> Jeg,klima*
doc_61,119,119,som forsterker klimaforliket og gir betydelige reduksjoner i,klimautslippene,<c2><bb> Jeg vil f<c3><b8>r vi n<c3><a5> g<c3><a5>r inn,klima*
doc_62,29,29,spennande som skjer i fedrelandet b<c3><a5>de i skjeringspunktet,klima,gr<c3><b8>n vekst og n<c3><a6>ringspolitikk p<c3><a5> kunnskapsfeltet og n<c3><a5>r,klima*
doc_70,4,4,Terje Aasland A,Klimautfordringen,er utvilsomt en av v<c3><a5>re aller st<c3><b8>rste utfordringer,klima*
doc_70,36,36,er enig i det som ble sagt om,klimautfordringene,hva som kan gj<c3><b8>res i det innlegget som,klima*
doc_70,82,82,Venstre er i ferd med <c3><a5> kapitulere i,klimakampen,For det f<c3><b8>rste sa Trine Skei Grande i,klima*
doc_70,119,119,i replikkordskiftet med representanten Gahr St<c3><b8>re med en,klimapolitisk,hyllest til Fremskrittspartiet Jeg skj<c3><b8>nner ikke at det,klima*
doc_70,136,136,henger helt sammen Trontalen inneholdt veldig lite om,klima,og Fremskrittspartiet har motarbeidet ethvert klimatiltak som har,klima*
doc_70,142,142,lite om klima og Fremskrittspartiet har motarbeidet ethvert,klimatiltak,som har v<c3><a6>rt fremmet i Stortinget Hvordan kan,klima*
doc_70,154,154,fremmet i Stortinget Hvordan kan Venstres leder forsvare,klimahyllesten,til Fremskrittspartiet Kan representanten Skei Grande p<c3><a5> noen,klima*
doc_70,172,172,beskrive hva som er fremmet av Fremskrittspartiet i,klimariktig,retning,klima*
doc_71,23,23,jeg har spurt om Jeg spurte om hvilke,klimariktige,initiativ Fremskrittspartiet <e2><80><93> det partiet som Venstre har,klima*
doc_73,118,118,f<c3><a5>tt statsministeren med seg p<c3><a5> et meget lite,klimavennlig,ultimatum som Venstre n<c3><a5> m<c3><a5> forholde seg til,klima*
doc_73,147,147,hvis det viser seg <c3><a5> v<c3><a6>re bedre for,klima,eller er Venstre l<c3><a5>st fast i sitt samarbeid,klima*
doc_74,15,15,De Gr<c3><b8>nne er enige om mange m<c3><a5>l i,klimapolitikken,og vi er enige om at vi ikke,klima*
doc_74,25,25,vi er enige om at vi ikke liker,klimafiendtlige,ting s<c3><a5> det var vel derfor Venstre var,klima*
doc_76,69,69,slaget noensinne og at regjeringen n<c3><a5> endelig tar,klimagassutslippene,p<c3><a5> alvor,klima*
doc_77,66,66,ikke tar inn over seg de milj<c3><b8> og,klimaforpliktelsene,vi st<c3><a5>r overfor og som framfor alt ikke,klima*
doc_78,133,133,pris<c3><b8>kning p<c3><a5> drivstoff men vi foresl<c3><a5>r samtidig en,klimabel<c3><b8>nningsordning,hvor disse midlene blir sendt ut igjen til,klima*
doc_79,17,17,flertall for <c3><a5> be regjeringa vurdere en egen,klimalov,uten at noe skjedde I sto vi sammen,klima*
doc_79,62,62,utfordringen med <c3><a5> f<c3><a5> p<c3><a5> plass en god,klimalov,,klima*
doc_80,13,13,til Kristelig Folkeparti for flott innsats for en,klimalov,og for flott samarbeid om <c3><a5> f<c3><a5> flertall,klima*
doc_80,32,32,i Stortinget n<c3><a5> Den st<c3><b8>rste mangelen ved den,klimaloven,som er lagt fram <e2><80><93> og det er,klima*
doc_80,76,76,et av de aller viktigste virkemidlene som en,klimalov,m<c3><a5> ha for <c3><a5> fungere nemlig et klimabudsjett,klima*
doc_80,84,84,klimalov m<c3><a5> ha for <c3><a5> fungere nemlig et,klimabudsjett,som f.eks byr<c3><a5>det i Oslo og Oslo er,klima*
doc_80,109,109,i <c3><a5>rets budsjett Det er ved hjelp av,klimabudsjett,et karbonutslippsbudsjett vi kan vite hvilke tiltak som,klima*
doc_81,102,102,innledning p<c3><a5> Stortinget uten <c3><a5> ta ordet <c2><ab>,klima,<c2><bb> i sin munn Paris-avtalen ble inng<c3><a5>tt i,klima*
doc_82,104,104,framlagt av Arbeiderpartiet N<c3><a5>r det gjelder kunnskap om,klimapolitikken,trodde jeg ikke at alt m<c3><a5>tte nevnes hver,klima*
doc_83,110,110,h<c3><b8>rt representanten Skei Grande sette godkjentstempel p<c3><a5> regjeringens,klimapolitikk,Det synes vi er litt oppsiktsvekkende men sp<c3><b8>rsm<c3><a5>let,klima*
doc_84,10,10,Ketil Solvik-Olsen Her nevner representanten Sivertsen selv at,klima,har v<c3><a6>rt tema i mange innlegg i debatten,klima*
doc_84,130,130,som regjeringen holder p<c3><a5> med N<c3><a5>r det gjelder,klima,s<c3><a5> handler det heldigvis om mye mer enn,klima*
doc_85,78,78,l<c3><b8>se utfordringene knyttet til trafikksikkerhet kapasitet milj<c3><b8> og,klima,Bedre informasjonsteknologi i veisektoren vil p<c3><a5>virke adferd og,klima*
doc_86,23,23,fall deler av sine tiltak n<c3><a5>r det gjelder,klima,p<c3><a5> transportomr<c3><a5>det Drivstoffavgifter skal <c3><b8>kes pendlerfradraget skal <c3><b8>kes,klima*
doc_86,48,48,summen av dette like godt kan bli <c3><b8>kte,klimagassutslipp,som reduserte utslipp Det sier ogs<c3><a5> Lars-Erik Borge,klima*
doc_87,26,26,Finansdepartementets beregninger at utslippene vil g<c3><a5> ned Men,klimapolitikk,handler ikke bare om drivstoffavgifter s<c3><a5>nn som venstresiden,klima*
doc_87,40,40,s<c3><a5>nn som venstresiden pr<c3><b8>ver <c3><a5> gi inntrykk av,Klimapolitikk,og god bymilj<c3><b8>politikk handler faktisk om helheten i,klima*
doc_88,8,8,Tina Bru H N<c3><a5> nevnte ikke representanten,klima,i sitt innlegg men det har jo v<c3><a6>rt,klima*
doc_89,52,52,ansvar for sosial dumping vi tar ansvar for,klima,men n<c3><a5>r det gjelder skattepolitikken og det at,klima*
doc_90,8,8,Geir Pollestad Sp Eit minimumskrav til eitkvart,klimatiltak,er at det m<c3><a5> ha effekt Det forventar,klima*
doc_90,140,140,Det ville sannsynlegvis heller ikkje hatt den store,klimaeffekten,,klima*
doc_91,58,58,<c3><a5> gjera det billegare og enklare <c3><a5> ta,klimavenlege,val i kvardagen Det veit me at folk,klima*
doc_92,12,12,A Takk for svaret Representanten snakkar mykje om,klimaet,i innlegget sitt Det vil eg bore litt,klima*
doc_92,74,74,ultimatum D<c3><a5> er det interessant med Paris-avtalen og,klimaforpliktingar,elles i bakhovudet <c3><a5> h<c3><b8>yre Er dette den,klima*
doc_96,116,116,<c3><a5> halde fram med dagens produksjon kan redusere,klimagassutsleppa,med opptil pst Det er bra Det meiner,klima*
doc_98,474,474,de siste ti<c3><a5>rene at vi skal oppfylle v<c3><a5>re,klimaforpliktelser,og at norske arbeidsplasser m<c3><a5> v<c3><a6>re konkurransedyktige n<c3><a5>r,klima*
doc_98,483,483,og at norske arbeidsplasser m<c3><a5> v<c3><a6>re konkurransedyktige n<c3><a5>r,klimapolitikken,strammes til b<c3><a5>de nasjonalt og globalt Vi m<c3><a5>,klima*
doc_98,1202,1202,kraftig I tillegg har regjeringen <c3><b8>kt avkastningen fra,Klimafondet,langt utover hva de r<c3><b8>d-gr<c3><b8>nne partiene var villige,klima*
doc_103,271,271,usikker p<c3><a5> om regjeringen har skj<c3><b8>nt alvoret Menneskeskapte,klimaendringer,er den st<c3><b8>rste samfunnsutfordringen som vi st<c3><a5>r overfor,klima*
doc_103,291,291,2017-budsjettet legge til rette for betydelig reduksjon i,klimautslippene,<c2><bb> sa representanten Breivik fra Venstre i et,klima*
doc_103,365,365,<e2><80><93> mens partileder Trine Skei Grande roste Fremskrittspartiets,klimainnsats,i sitt innlegg i g<c3><a5>r Representanten Syversen fra,klima*
doc_104,311,311,vilje handlekraft og nytenkning en rask reduksjon av,klimautslippene,og <c3><a5> gj<c3><b8>re Norge til en ledende nasjon,klima*
doc_104,324,324,til en ledende nasjon p<c3><a5> fornybar energi og,klimateknologi,For eksempel vil en modernisering av Tr<c3><b8>nderbanen spare,klima*
doc_106,261,261,mindre hvis disse problemene skal l<c3><b8>ses <e2><80><93> som,klimautfordringene,og ikke minst de sikkerhetspolitiske i kampen mot,klima*
doc_109,84,84,denne regjeringen satset stort p<c3><a5> forskning og utvikling,Klimateknologifondet,er ved utgangen av forsterket til mrd kr,klima*
doc_109,104,104,kr utover det Stortinget ble enig om i,klimaforliket,Milj<c3><b8>teknologiordningen i Innovasjon Norge er styrket til mer,klima*
doc_114,310,310,under denne regjeringen Arbeidsledigheten vokser Forskjellene har vokst,Klimagassutslippene,har vokst Utryggheten har vokst Byr<c3><a5>kratiet har vokst,klima*
doc_115,32,32,olje og at Norge er et foregangsland i,klimapolitikken,Sannheten er at Norge er en klimaversting Gjennomsnittsnordmannen,klima*
doc_115,39,39,i klimapolitikken Sannheten er at Norge er en,klimaversting,Gjennomsnittsnordmannen slipper ut dobbelt s<c3><a5> mye som gjennomsnittssvensken,klima*
doc_115,310,310,ut Vi er n<c3><b8>dt til <c3><a5> legge inn,klimavurderinger,i konsesjonsrundene og vi er n<c3><b8>dt til <c3><a5>,klima*
doc_117,344,344,styrkt kommune<c3><b8>konomien Overf<c3><b8>ringa av plan og bygningslova fr<c3><a5>,Klima,og milj<c3><b8>departementet til Kommunal og moderniseringsdepartementet har f<c3><b8>rt,klima*
doc_122,387,387,industri og prim<c3><a6>rn<c3><a6>ringar No st<c3><a5>r vi i ei,klimakrise,som krev at vi tek i bruk dei,klima*
doc_122,417,417,statlege pengar til omstilling i ei fornybar og,klimavennleg,retning er betre enn <c3><a5> putta dei i,klima*
doc_126,257,257,pst av jobbene blir borte innen <e2><80><93> og,klimautfordringene,Ja oljeprisen har falt men det kan ikke,klima*
doc_128,214,214,trenger at Norge tar en sterkere rolle innenfor,klimaomr<c3><a5>det,for <c3><a5> ruste oss for framtida og n<c3><a5>r,klima*
doc_133,32,32,global oppvarming over grader p<c3><a5> grunn av menneskeskapte,klimaendringer,og m<c3><a5>let om at Norge skal kutte klimagassutslippene,klima*
doc_133,40,40,klimaendringer og m<c3><a5>let om at Norge skal kutte,klimagassutslippene,med pst innen og ber regjeringen trekke tilbake,klima*
doc_133,106,106,for p<c3><a5> en forpliktende og sektorvis m<c3><a5>te reduserer,klimautslippene,i Norge betydelig og i tr<c3><a5>d med m<c3><a5>let,klima*
doc_135,44,44,framtidas utfordringer krever det endringer som er modige,Klimam<c3><a5>lene,for sier at vi skal kutte 6<e2><80><93>7 millioner,klima*
doc_136,16,16,m<c3><a5>lestokker for hva man mener er et stort,klimatiltak,Jeg har f.eks ment at innf<c3><b8>ringen av elbiler,klima*
doc_136,43,43,Grande har ment <e2><80><93> har v<c3><a6>rt et stort,klimatiltak,Vi n<c3><a5>r n<c3><a5> snart elbiler Det sparer utslippet,klima*
doc_137,12,12,<c3><85> bore etter mer olje for <c3><a5> redde,klimaet,mindre pappaperm for <c3><a5> f<c3><a5> likestilling flere midlertidige,klima*
doc_138,6,6,Rasmus Hansson MDG Siden norsk,klimapolitikks,begynnelse i er statsminister Solberg den sjuende statsministeren,klima*
doc_138,22,22,statsministeren i rekka som ikke har kuttet norske,klimagassutslipp,Samtidig har hun gjort noe bra og det,klima*
doc_138,42,42,en avtale med EU om <c3><a5> kutte pst,klimagassutslipp,som burde gjelde hele Norge men som i,klima*
doc_139,2139,2139,for bensin og diesel For <c3><a5> kunne bekjempe,klimautfordringen,og redusere utslippene m<c3><a5> vi ha n<c3><a6>ringsliv og,klima*
doc_139,2296,2296,Samlet bidrar den gr<c3><b8>nne skatteomleggingen til <c3><a5> forsterke,klimaforliket,og redusere klimagassutslippene Engangsavgiften for kj<c3><b8>ret<c3><b8>y foresl<c3><a5>s lagt,klima*
doc_139,2299,2299,gr<c3><b8>nne skatteomleggingen til <c3><a5> forsterke klimaforliket og redusere,klimagassutslippene,Engangsavgiften for kj<c3><b8>ret<c3><b8>y foresl<c3><a5>s lagt ytterligere om i,klima*
doc_139,2317,2317,retning Dette er blitt et viktig redskap i,klimapolitikken,Vi har hatt gode resultater med tidligere omlegginger,klima*
doc_139,2465,2465,i h<c3><a5>nd Regjeringen har l<c3><b8>ftet Norges ambisjoner i,klimapolitikken,V<c3><a5>rt m<c3><a5>l er <c3><a5> kutte klimagassutslippene med pst,klima*
doc_139,2471,2471,ambisjoner i klimapolitikken V<c3><a5>rt m<c3><a5>l er <c3><a5> kutte,klimagassutslippene,med pst frem mot sammenlignet med 1990-niv<c3><a5> Det,klima*
doc_139,2485,2485,med 1990-niv<c3><a5> Det er et taktskifte i norsk,klimapolitikk,og vi f<c3><b8>lger opp med konkrete forslag Vi,klima*
doc_139,2504,2504,for <c3><a5> utvikle og ta i bruk ny,klimavennlig,teknologi Vi har f<c3><a5>tt et jernbanebudsjett som prioriterer,klima*
doc_139,2587,2587,er viktig for at verden skal n<c3><a5> sine,klimam<c3><a5>l,Stortinget og regjeringen har h<c3><b8>ye ambisjoner om et,klima*
doc_139,2719,2719,forskning Innsatsen skal rettes inn mot <c3><a5> n<c3><a5>,klimam<c3><a5>lene,for spesielt innenfor transportomr<c3><a5>det Sammen med regjeringens satsing,klima*
doc_140,321,321,og regjeringen har v<c3><a6>rt passiv i m<c3><b8>te med,klimautfordringene,Skattekuttene er n<c3><a5> oppe i mrd kr <c3><a5>rlig,klima*
